"","orig.ident","nCount_RNA","nFeature_RNA","STIM","SAMP","PND"
"38#38#35_15","SeuratProject",694,36,"il1","AR007","P1"
"38#42#58_15","SeuratProject",176,18,"il1","AR007","P1"
"38#43#51_15","SeuratProject",217,14,"il1","AR007","P1"
"38#45#22_15","SeuratProject",398,31,"il1","AR007","P1"
"38#50#27_15","SeuratProject",89,13,"il1","AR007","P1"
"38#6#46_15","SeuratProject",270,20,"il1","AR007","P1"
"38#65#28_15","SeuratProject",219,18,"il1","AR007","P1"
"38#70#46_15","SeuratProject",1718,33,"il1","AR007","P1"
"38#83#46_15","SeuratProject",165,23,"il1","AR007","P1"
"39#10#37_15","SeuratProject",366,28,"il1","AR007","P1"
"39#40#70_15","SeuratProject",1382,33,"il1","AR007","P1"
"39#41#51_15","SeuratProject",491,29,"il1","AR007","P1"
"39#51#24_15","SeuratProject",336,27,"il1","AR007","P1"
"39#52#26_15","SeuratProject",97,19,"il1","AR007","P1"
"39#52#59_15","SeuratProject",262,18,"il1","AR007","P1"
"39#6#58_15","SeuratProject",259,30,"il1","AR007","P1"
"39#60#68_15","SeuratProject",278,14,"il1","AR007","P1"
"39#61#62_15","SeuratProject",165,22,"il1","AR007","P1"
"39#69#43_15","SeuratProject",234,27,"il1","AR007","P1"
"39#77#9_15","SeuratProject",951,27,"il1","AR007","P1"
"39#90#35_15","SeuratProject",86,15,"il1","AR007","P1"
"4#18#5_15","SeuratProject",181,20,"il1","AR007","P1"
"4#20#14_15","SeuratProject",1561,30,"il1","AR007","P1"
"4#22#55_15","SeuratProject",312,28,"il1","AR007","P1"
"4#24#83_15","SeuratProject",1059,31,"il1","AR007","P1"
"4#30#5_15","SeuratProject",602,25,"il1","AR007","P1"
"4#30#89_15","SeuratProject",189,22,"il1","AR007","P1"
"4#32#31_15","SeuratProject",380,32,"il1","AR007","P1"
"4#34#4_15","SeuratProject",1068,29,"il1","AR007","P1"
"4#34#45_15","SeuratProject",1366,36,"il1","AR007","P1"
"4#42#14_15","SeuratProject",740,28,"il1","AR007","P1"
"4#44#93_15","SeuratProject",629,26,"il1","AR007","P1"
"4#49#71_15","SeuratProject",777,33,"il1","AR007","P1"
"4#52#45_15","SeuratProject",560,26,"il1","AR007","P1"
"4#67#82_15","SeuratProject",1888,37,"il1","AR007","P1"
"4#78#31_15","SeuratProject",72,10,"il1","AR007","P1"
"40#14#37_15","SeuratProject",196,23,"il1","AR007","P1"
"40#20#25_15","SeuratProject",1976,36,"il1","AR007","P1"
"40#22#26_15","SeuratProject",1722,36,"il1","AR007","P1"
"40#25#59_15","SeuratProject",1699,34,"il1","AR007","P1"
"40#25#73_15","SeuratProject",255,27,"il1","AR007","P1"
"40#28#41_15","SeuratProject",153,21,"il1","AR007","P1"
"40#29#6_15","SeuratProject",205,25,"il1","AR007","P1"
"40#32#61_15","SeuratProject",171,23,"il1","AR007","P1"
"40#35#9_15","SeuratProject",376,23,"il1","AR007","P1"
"40#37#83_15","SeuratProject",1388,30,"il1","AR007","P1"
"40#39#76_15","SeuratProject",759,32,"il1","AR007","P1"
"40#40#8_15","SeuratProject",400,25,"il1","AR007","P1"
"40#52#34_15","SeuratProject",785,28,"il1","AR007","P1"
"40#57#77_15","SeuratProject",1154,29,"il1","AR007","P1"
"40#66#60_15","SeuratProject",655,31,"il1","AR007","P1"
"40#72#38_15","SeuratProject",307,25,"il1","AR007","P1"
"40#80#47_15","SeuratProject",152,23,"il1","AR007","P1"
"41#14#78_15","SeuratProject",713,28,"il1","AR007","P1"
"41#2#69_15","SeuratProject",782,33,"il1","AR007","P1"
"41#44#32_15","SeuratProject",921,29,"il1","AR007","P1"
"41#54#72_15","SeuratProject",221,22,"il1","AR007","P1"
"41#60#37_15","SeuratProject",1008,33,"il1","AR007","P1"
"41#70#22_15","SeuratProject",247,18,"il1","AR007","P1"
"41#70#61_15","SeuratProject",1589,34,"il1","AR007","P1"
"41#71#18_15","SeuratProject",100,21,"il1","AR007","P1"
"41#72#44_15","SeuratProject",207,32,"il1","AR007","P1"
"41#79#69_15","SeuratProject",331,26,"il1","AR007","P1"
"42#1#43_15","SeuratProject",134,19,"il1","AR007","P1"
"42#11#51_15","SeuratProject",209,21,"il1","AR007","P1"
"42#22#83_15","SeuratProject",1066,33,"il1","AR007","P1"
"42#24#1_15","SeuratProject",460,31,"il1","AR007","P1"
"42#27#26_15","SeuratProject",428,26,"il1","AR007","P1"
"42#38#22_15","SeuratProject",331,21,"il1","AR007","P1"
"42#39#13_15","SeuratProject",875,32,"il1","AR007","P1"
"42#64#96_15","SeuratProject",2636,36,"il1","AR007","P1"
"42#8#64_15","SeuratProject",402,20,"il1","AR007","P1"
"42#9#9_15","SeuratProject",1175,31,"il1","AR007","P1"
"43#12#32_15","SeuratProject",711,27,"il1","AR007","P1"
"43#18#59_15","SeuratProject",123,20,"il1","AR007","P1"
"43#2#66_15","SeuratProject",792,30,"il1","AR007","P1"
"43#25#63_15","SeuratProject",497,31,"il1","AR007","P1"
"43#34#51_15","SeuratProject",809,28,"il1","AR007","P1"
"43#35#36_15","SeuratProject",674,35,"il1","AR007","P1"
"43#51#47_15","SeuratProject",961,31,"il1","AR007","P1"
"43#53#52_15","SeuratProject",417,25,"il1","AR007","P1"
"43#54#3_15","SeuratProject",218,27,"il1","AR007","P1"
"43#7#55_15","SeuratProject",610,30,"il1","AR007","P1"
"43#71#1_15","SeuratProject",1877,38,"il1","AR007","P1"
"43#72#72_15","SeuratProject",362,21,"il1","AR007","P1"
"43#73#19_15","SeuratProject",1105,31,"il1","AR007","P1"
"43#73#34_15","SeuratProject",124,21,"il1","AR007","P1"
"43#75#71_15","SeuratProject",429,28,"il1","AR007","P1"
"43#81#77_15","SeuratProject",133,18,"il1","AR007","P1"
"43#87#36_15","SeuratProject",331,23,"il1","AR007","P1"
"43#96#79_15","SeuratProject",1151,32,"il1","AR007","P1"
"44#20#32_15","SeuratProject",156,20,"il1","AR007","P1"
"44#3#69_15","SeuratProject",218,18,"il1","AR007","P1"
"44#30#50_15","SeuratProject",1103,29,"il1","AR007","P1"
"44#34#75_15","SeuratProject",393,30,"il1","AR007","P1"
"44#36#50_15","SeuratProject",284,26,"il1","AR007","P1"
"44#38#10_15","SeuratProject",765,29,"il1","AR007","P1"
"44#52#32_15","SeuratProject",154,27,"il1","AR007","P1"
"44#52#78_15","SeuratProject",405,24,"il1","AR007","P1"
"44#61#19_15","SeuratProject",142,23,"il1","AR007","P1"
"44#77#9_15","SeuratProject",295,31,"il1","AR007","P1"
"44#8#66_15","SeuratProject",123,18,"il1","AR007","P1"
"44#84#47_15","SeuratProject",1296,29,"il1","AR007","P1"
"44#85#54_15","SeuratProject",236,24,"il1","AR007","P1"
"44#86#35_15","SeuratProject",664,28,"il1","AR007","P1"
"44#90#22_15","SeuratProject",161,22,"il1","AR007","P1"
"45#16#37_15","SeuratProject",671,34,"il1","AR007","P1"
"45#46#2_15","SeuratProject",1020,35,"il1","AR007","P1"
"45#47#7_15","SeuratProject",358,24,"il1","AR007","P1"
"45#56#2_15","SeuratProject",148,27,"il1","AR007","P1"
"45#66#3_15","SeuratProject",1185,32,"il1","AR007","P1"
"45#69#4_15","SeuratProject",1193,35,"il1","AR007","P1"
"45#94#10_15","SeuratProject",235,23,"il1","AR007","P1"
"46#33#28_15","SeuratProject",1582,34,"il1","AR007","P1"
"46#4#20_15","SeuratProject",564,25,"il1","AR007","P1"
"46#51#54_15","SeuratProject",215,26,"il1","AR007","P1"
"46#6#80_15","SeuratProject",1535,40,"il1","AR007","P1"
"46#61#44_15","SeuratProject",1281,30,"il1","AR007","P1"
"46#61#49_15","SeuratProject",1279,35,"il1","AR007","P1"
"46#68#23_15","SeuratProject",146,22,"il1","AR007","P1"
"46#68#77_15","SeuratProject",729,28,"il1","AR007","P1"
"46#73#76_15","SeuratProject",1003,31,"il1","AR007","P1"
"46#77#6_15","SeuratProject",523,32,"il1","AR007","P1"
"46#80#69_15","SeuratProject",890,31,"il1","AR007","P1"
"46#83#24_15","SeuratProject",510,23,"il1","AR007","P1"
"46#86#56_15","SeuratProject",502,30,"il1","AR007","P1"
"46#91#11_15","SeuratProject",448,33,"il1","AR007","P1"
"46#94#27_15","SeuratProject",337,27,"il1","AR007","P1"
"47#16#78_15","SeuratProject",1459,34,"il1","AR007","P1"
"47#18#29_15","SeuratProject",1480,31,"il1","AR007","P1"
"47#24#50_15","SeuratProject",125,19,"il1","AR007","P1"
"47#25#52_15","SeuratProject",213,23,"il1","AR007","P1"
"47#29#43_15","SeuratProject",719,31,"il1","AR007","P1"
"47#39#58_15","SeuratProject",808,31,"il1","AR007","P1"
"47#43#91_15","SeuratProject",203,26,"il1","AR007","P1"
"47#44#4_15","SeuratProject",623,29,"il1","AR007","P1"
"47#44#48_15","SeuratProject",441,24,"il1","AR007","P1"
"47#5#71_15","SeuratProject",330,24,"il1","AR007","P1"
"47#63#16_15","SeuratProject",780,30,"il1","AR007","P1"
"47#64#43_15","SeuratProject",134,18,"il1","AR007","P1"
"47#68#32_15","SeuratProject",1416,33,"il1","AR007","P1"
"47#68#70_15","SeuratProject",1354,30,"il1","AR007","P1"
"47#76#68_15","SeuratProject",922,31,"il1","AR007","P1"
"48#16#74_15","SeuratProject",913,34,"il1","AR007","P1"
"48#16#77_15","SeuratProject",116,19,"il1","AR007","P1"
"48#17#14_15","SeuratProject",1753,37,"il1","AR007","P1"
"48#21#84_15","SeuratProject",120,14,"il1","AR007","P1"
"48#24#14_15","SeuratProject",201,26,"il1","AR007","P1"
"48#43#27_15","SeuratProject",403,27,"il1","AR007","P1"
"48#66#49_15","SeuratProject",400,26,"il1","AR007","P1"
"48#76#3_15","SeuratProject",557,34,"il1","AR007","P1"
"48#81#83_15","SeuratProject",1840,33,"il1","AR007","P1"
"48#84#6_15","SeuratProject",769,30,"il1","AR007","P1"
"49#1#7_15","SeuratProject",1168,29,"il1","AR007","P1"
"49#39#46_15","SeuratProject",1561,32,"il1","AR007","P1"
"49#60#9_15","SeuratProject",103,20,"il1","AR007","P1"
"49#64#71_15","SeuratProject",362,29,"il1","AR007","P1"
"49#85#67_15","SeuratProject",1018,33,"il1","AR007","P1"
"49#93#73_15","SeuratProject",345,24,"il1","AR007","P1"
"5#14#37_15","SeuratProject",231,25,"il1","AR007","P1"
"5#23#17_15","SeuratProject",581,27,"il1","AR007","P1"
"5#3#69_15","SeuratProject",749,30,"il1","AR007","P1"
"5#33#95_15","SeuratProject",225,24,"il1","AR007","P1"
"5#49#72_15","SeuratProject",446,27,"il1","AR007","P1"
"5#58#43_15","SeuratProject",1102,27,"il1","AR007","P1"
"5#6#28_15","SeuratProject",254,25,"il1","AR007","P1"
"5#62#46_15","SeuratProject",342,27,"il1","AR007","P1"
"5#67#58_15","SeuratProject",140,26,"il1","AR007","P1"
"5#72#3_15","SeuratProject",293,24,"il1","AR007","P1"
"5#88#14_15","SeuratProject",135,23,"il1","AR007","P1"
"50#1#12_15","SeuratProject",556,27,"il1","AR007","P1"
"50#10#53_15","SeuratProject",2411,38,"il1","AR007","P1"
"50#16#7_15","SeuratProject",420,24,"il1","AR007","P1"
"50#21#58_15","SeuratProject",555,31,"il1","AR007","P1"
"50#25#12_15","SeuratProject",118,21,"il1","AR007","P1"
"50#26#7_15","SeuratProject",1894,37,"il1","AR007","P1"
"50#28#13_15","SeuratProject",1477,36,"il1","AR007","P1"
"50#43#58_15","SeuratProject",1001,29,"il1","AR007","P1"
"50#56#85_15","SeuratProject",1031,33,"il1","AR007","P1"
"50#65#42_15","SeuratProject",349,28,"il1","AR007","P1"
"50#66#7_15","SeuratProject",790,29,"il1","AR007","P1"
"50#7#20_15","SeuratProject",91,23,"il1","AR007","P1"
"50#70#6_15","SeuratProject",1619,34,"il1","AR007","P1"
"50#81#68_15","SeuratProject",1446,36,"il1","AR007","P1"
"50#82#28_15","SeuratProject",959,35,"il1","AR007","P1"
"51#18#93_15","SeuratProject",1225,31,"il1","AR007","P1"
"51#22#16_15","SeuratProject",1489,28,"il1","AR007","P1"
"51#23#88_15","SeuratProject",279,22,"il1","AR007","P1"
"51#26#68_15","SeuratProject",228,18,"il1","AR007","P1"
"51#31#36_15","SeuratProject",735,32,"il1","AR007","P1"
"51#50#24_15","SeuratProject",1737,33,"il1","AR007","P1"
"51#50#63_15","SeuratProject",316,23,"il1","AR007","P1"
"51#57#45_15","SeuratProject",1895,35,"il1","AR007","P1"
"51#58#45_15","SeuratProject",140,25,"il1","AR007","P1"
"51#68#36_15","SeuratProject",3343,37,"il1","AR007","P1"
"51#69#24_15","SeuratProject",489,31,"il1","AR007","P1"
"51#77#46_15","SeuratProject",521,28,"il1","AR007","P1"
"51#83#26_15","SeuratProject",392,26,"il1","AR007","P1"
"52#17#48_15","SeuratProject",1005,30,"il1","AR007","P1"
"52#34#91_15","SeuratProject",1868,36,"il1","AR007","P1"
"52#35#73_15","SeuratProject",1074,32,"il1","AR007","P1"
"52#39#35_15","SeuratProject",963,30,"il1","AR007","P1"
"52#40#41_15","SeuratProject",236,23,"il1","AR007","P1"
"52#42#38_15","SeuratProject",465,27,"il1","AR007","P1"
"52#47#84_15","SeuratProject",830,27,"il1","AR007","P1"
"52#58#1_15","SeuratProject",476,25,"il1","AR007","P1"
"52#68#19_15","SeuratProject",524,30,"il1","AR007","P1"
"52#71#53_15","SeuratProject",2319,36,"il1","AR007","P1"
"52#87#89_15","SeuratProject",1161,34,"il1","AR007","P1"
"52#93#15_15","SeuratProject",160,22,"il1","AR007","P1"
"53#10#89_15","SeuratProject",1245,34,"il1","AR007","P1"
"53#22#62_15","SeuratProject",852,32,"il1","AR007","P1"
"53#24#48_15","SeuratProject",133,20,"il1","AR007","P1"
"53#39#17_15","SeuratProject",187,20,"il1","AR007","P1"
"53#39#69_15","SeuratProject",2090,33,"il1","AR007","P1"
"53#4#9_15","SeuratProject",230,18,"il1","AR007","P1"
"53#76#14_15","SeuratProject",557,27,"il1","AR007","P1"
"53#85#45_15","SeuratProject",564,25,"il1","AR007","P1"
"54#15#31_15","SeuratProject",389,26,"il1","AR007","P1"
"54#2#95_15","SeuratProject",856,34,"il1","AR007","P1"
"54#21#58_15","SeuratProject",104,21,"il1","AR007","P1"
"54#23#65_15","SeuratProject",355,25,"il1","AR007","P1"
"54#27#3_15","SeuratProject",827,32,"il1","AR007","P1"
"54#43#47_15","SeuratProject",369,25,"il1","AR007","P1"
"54#45#12_15","SeuratProject",193,26,"il1","AR007","P1"
"54#6#70_15","SeuratProject",1677,33,"il1","AR007","P1"
"54#65#85_15","SeuratProject",305,29,"il1","AR007","P1"
"54#8#72_15","SeuratProject",163,19,"il1","AR007","P1"
"54#81#91_15","SeuratProject",757,30,"il1","AR007","P1"
"54#92#62_15","SeuratProject",1339,32,"il1","AR007","P1"
"55#11#38_15","SeuratProject",561,27,"il1","AR007","P1"
"55#18#25_15","SeuratProject",658,30,"il1","AR007","P1"
"55#2#56_15","SeuratProject",265,21,"il1","AR007","P1"
"55#22#60_15","SeuratProject",2071,36,"il1","AR007","P1"
"55#28#3_15","SeuratProject",501,28,"il1","AR007","P1"
"55#30#67_15","SeuratProject",227,28,"il1","AR007","P1"
"55#63#21_15","SeuratProject",256,27,"il1","AR007","P1"
"55#72#39_15","SeuratProject",290,20,"il1","AR007","P1"
"55#73#15_15","SeuratProject",2220,33,"il1","AR007","P1"
"55#78#20_15","SeuratProject",128,21,"il1","AR007","P1"
"55#8#4_15","SeuratProject",255,21,"il1","AR007","P1"
"55#80#96_15","SeuratProject",325,21,"il1","AR007","P1"
"56#13#95_15","SeuratProject",2200,34,"il1","AR007","P1"
"56#20#2_15","SeuratProject",442,29,"il1","AR007","P1"
"56#29#7_15","SeuratProject",487,23,"il1","AR007","P1"
"56#29#9_15","SeuratProject",487,24,"il1","AR007","P1"
"56#35#72_15","SeuratProject",1060,30,"il1","AR007","P1"
"56#42#30_15","SeuratProject",1075,31,"il1","AR007","P1"
"56#51#70_15","SeuratProject",537,29,"il1","AR007","P1"
"56#68#32_15","SeuratProject",256,18,"il1","AR007","P1"
"56#71#5_15","SeuratProject",376,27,"il1","AR007","P1"
"57#13#40_15","SeuratProject",778,32,"il1","AR007","P1"
"57#18#73_15","SeuratProject",152,21,"il1","AR007","P1"
"57#2#5_15","SeuratProject",268,26,"il1","AR007","P1"
"57#22#37_15","SeuratProject",360,28,"il1","AR007","P1"
"57#23#19_15","SeuratProject",519,32,"il1","AR007","P1"
"57#25#67_15","SeuratProject",460,30,"il1","AR007","P1"
"57#31#71_15","SeuratProject",422,28,"il1","AR007","P1"
"57#35#44_15","SeuratProject",339,28,"il1","AR007","P1"
"57#38#89_15","SeuratProject",588,30,"il1","AR007","P1"
"57#42#7_15","SeuratProject",555,29,"il1","AR007","P1"
"57#50#23_15","SeuratProject",99,21,"il1","AR007","P1"
"57#53#7_15","SeuratProject",223,15,"il1","AR007","P1"
"57#60#82_15","SeuratProject",182,24,"il1","AR007","P1"
"57#62#23_15","SeuratProject",2714,34,"il1","AR007","P1"
"57#63#58_15","SeuratProject",109,22,"il1","AR007","P1"
"57#9#9_15","SeuratProject",2188,36,"il1","AR007","P1"
"57#95#49_15","SeuratProject",1069,28,"il1","AR007","P1"
"58#3#24_15","SeuratProject",850,31,"il1","AR007","P1"
"58#31#49_15","SeuratProject",1308,31,"il1","AR007","P1"
"58#37#68_15","SeuratProject",239,20,"il1","AR007","P1"
"58#38#15_15","SeuratProject",95,14,"il1","AR007","P1"
"58#4#69_15","SeuratProject",164,22,"il1","AR007","P1"
"58#62#50_15","SeuratProject",3486,37,"il1","AR007","P1"
"58#80#75_15","SeuratProject",872,32,"il1","AR007","P1"
"58#87#46_15","SeuratProject",2103,32,"il1","AR007","P1"
"59#32#73_15","SeuratProject",575,29,"il1","AR007","P1"
"59#40#36_15","SeuratProject",201,22,"il1","AR007","P1"
"59#40#42_15","SeuratProject",1345,32,"il1","AR007","P1"
"59#41#7_15","SeuratProject",794,34,"il1","AR007","P1"
"59#49#16_15","SeuratProject",754,27,"il1","AR007","P1"
"59#67#57_15","SeuratProject",658,25,"il1","AR007","P1"
"59#73#46_15","SeuratProject",164,16,"il1","AR007","P1"
"59#79#67_15","SeuratProject",133,21,"il1","AR007","P1"
"59#80#42_15","SeuratProject",97,19,"il1","AR007","P1"
"59#89#61_15","SeuratProject",367,26,"il1","AR007","P1"
"6#37#23_15","SeuratProject",853,25,"il1","AR007","P1"
"6#38#40_15","SeuratProject",587,27,"il1","AR007","P1"
"6#41#17_15","SeuratProject",641,33,"il1","AR007","P1"
"6#70#38_15","SeuratProject",176,24,"il1","AR007","P1"
"6#74#75_15","SeuratProject",279,22,"il1","AR007","P1"
"60#11#68_15","SeuratProject",1646,31,"il1","AR007","P1"
"60#14#53_15","SeuratProject",525,30,"il1","AR007","P1"
"60#15#85_15","SeuratProject",609,26,"il1","AR007","P1"
"60#35#59_15","SeuratProject",286,28,"il1","AR007","P1"
"60#40#2_15","SeuratProject",306,28,"il1","AR007","P1"
"60#43#12_15","SeuratProject",259,23,"il1","AR007","P1"
"60#43#56_15","SeuratProject",587,35,"il1","AR007","P1"
"60#52#94_15","SeuratProject",475,26,"il1","AR007","P1"
"60#58#8_15","SeuratProject",569,29,"il1","AR007","P1"
"60#60#14_15","SeuratProject",289,26,"il1","AR007","P1"
"60#62#6_15","SeuratProject",594,29,"il1","AR007","P1"
"60#68#65_15","SeuratProject",332,29,"il1","AR007","P1"
"60#78#39_15","SeuratProject",1782,36,"il1","AR007","P1"
"60#8#65_15","SeuratProject",1042,31,"il1","AR007","P1"
"60#85#67_15","SeuratProject",163,27,"il1","AR007","P1"
"61#20#13_15","SeuratProject",478,34,"il1","AR007","P1"
"61#23#8_15","SeuratProject",817,32,"il1","AR007","P1"
"61#27#23_15","SeuratProject",106,15,"il1","AR007","P1"
"61#43#6_15","SeuratProject",1203,33,"il1","AR007","P1"
"61#47#6_15","SeuratProject",237,28,"il1","AR007","P1"
"61#63#18_15","SeuratProject",205,28,"il1","AR007","P1"
"61#63#95_15","SeuratProject",939,29,"il1","AR007","P1"
"61#67#49_15","SeuratProject",1508,35,"il1","AR007","P1"
"61#70#35_15","SeuratProject",179,21,"il1","AR007","P1"
"61#74#8_15","SeuratProject",152,22,"il1","AR007","P1"
"61#78#5_15","SeuratProject",1254,36,"il1","AR007","P1"
"61#83#22_15","SeuratProject",1099,34,"il1","AR007","P1"
"61#85#3_15","SeuratProject",977,31,"il1","AR007","P1"
"62#14#40_15","SeuratProject",883,35,"il1","AR007","P1"
"62#14#95_15","SeuratProject",374,27,"il1","AR007","P1"
"62#15#14_15","SeuratProject",562,33,"il1","AR007","P1"
"62#19#63_15","SeuratProject",1677,31,"il1","AR007","P1"
"62#35#69_15","SeuratProject",191,23,"il1","AR007","P1"
"62#37#23_15","SeuratProject",1223,31,"il1","AR007","P1"
"62#4#29_15","SeuratProject",312,31,"il1","AR007","P1"
"62#46#8_15","SeuratProject",402,25,"il1","AR007","P1"
"62#48#88_15","SeuratProject",368,27,"il1","AR007","P1"
"62#53#11_15","SeuratProject",496,30,"il1","AR007","P1"
"62#63#85_15","SeuratProject",1521,35,"il1","AR007","P1"
"62#76#43_15","SeuratProject",1143,30,"il1","AR007","P1"
"62#90#31_15","SeuratProject",1421,34,"il1","AR007","P1"
"63#11#19_15","SeuratProject",1273,32,"il1","AR007","P1"
"63#18#60_15","SeuratProject",729,27,"il1","AR007","P1"
"63#20#95_15","SeuratProject",930,28,"il1","AR007","P1"
"63#21#83_15","SeuratProject",1061,31,"il1","AR007","P1"
"63#36#53_15","SeuratProject",363,28,"il1","AR007","P1"
"63#46#37_15","SeuratProject",270,31,"il1","AR007","P1"
"63#47#48_15","SeuratProject",741,29,"il1","AR007","P1"
"63#50#56_15","SeuratProject",293,27,"il1","AR007","P1"
"63#50#69_15","SeuratProject",969,33,"il1","AR007","P1"
"63#70#76_15","SeuratProject",1440,35,"il1","AR007","P1"
"63#71#75_15","SeuratProject",166,25,"il1","AR007","P1"
"64#1#19_15","SeuratProject",228,28,"il1","AR007","P1"
"64#24#3_15","SeuratProject",519,31,"il1","AR007","P1"
"64#29#51_15","SeuratProject",669,27,"il1","AR007","P1"
"64#40#18_15","SeuratProject",500,25,"il1","AR007","P1"
"64#41#17_15","SeuratProject",686,30,"il1","AR007","P1"
"64#41#25_15","SeuratProject",417,29,"il1","AR007","P1"
"64#41#64_15","SeuratProject",906,30,"il1","AR007","P1"
"64#55#61_15","SeuratProject",1915,37,"il1","AR007","P1"
"64#67#24_15","SeuratProject",92,19,"il1","AR007","P1"
"64#73#41_15","SeuratProject",250,22,"il1","AR007","P1"
"65#13#70_15","SeuratProject",214,25,"il1","AR007","P1"
"65#17#1_15","SeuratProject",159,23,"il1","AR007","P1"
"65#2#27_15","SeuratProject",893,32,"il1","AR007","P1"
"65#20#18_15","SeuratProject",1178,35,"il1","AR007","P1"
"65#21#52_15","SeuratProject",100,14,"il1","AR007","P1"
"65#33#46_15","SeuratProject",646,31,"il1","AR007","P1"
"65#35#39_15","SeuratProject",340,26,"il1","AR007","P1"
"65#65#22_15","SeuratProject",176,21,"il1","AR007","P1"
"65#67#11_15","SeuratProject",546,33,"il1","AR007","P1"
"65#72#94_15","SeuratProject",689,24,"il1","AR007","P1"
"65#95#8_15","SeuratProject",247,25,"il1","AR007","P1"
"66#10#52_15","SeuratProject",613,30,"il1","AR007","P1"
"66#29#19_15","SeuratProject",363,32,"il1","AR007","P1"
"66#29#23_15","SeuratProject",521,30,"il1","AR007","P1"
"66#39#25_15","SeuratProject",1229,36,"il1","AR007","P1"
"66#47#20_15","SeuratProject",102,25,"il1","AR007","P1"
"66#47#25_15","SeuratProject",736,29,"il1","AR007","P1"
"66#47#53_15","SeuratProject",393,22,"il1","AR007","P1"
"66#47#69_15","SeuratProject",1833,36,"il1","AR007","P1"
"66#58#44_15","SeuratProject",188,27,"il1","AR007","P1"
"66#78#9_15","SeuratProject",376,24,"il1","AR007","P1"
"66#85#68_15","SeuratProject",1414,35,"il1","AR007","P1"
"66#87#18_15","SeuratProject",235,26,"il1","AR007","P1"
"66#9#37_15","SeuratProject",283,31,"il1","AR007","P1"
"66#93#57_15","SeuratProject",159,17,"il1","AR007","P1"
"66#96#69_15","SeuratProject",2868,39,"il1","AR007","P1"
"67#17#44_15","SeuratProject",899,31,"il1","AR007","P1"
"67#18#6_15","SeuratProject",503,34,"il1","AR007","P1"
"67#33#88_15","SeuratProject",221,26,"il1","AR007","P1"
"67#38#37_15","SeuratProject",129,24,"il1","AR007","P1"
"67#39#40_15","SeuratProject",262,24,"il1","AR007","P1"
"67#42#19_15","SeuratProject",691,27,"il1","AR007","P1"
"67#47#32_15","SeuratProject",263,22,"il1","AR007","P1"
"67#68#41_15","SeuratProject",174,22,"il1","AR007","P1"
"67#84#11_15","SeuratProject",1087,34,"il1","AR007","P1"
"67#85#39_15","SeuratProject",279,30,"il1","AR007","P1"
"68#10#93_15","SeuratProject",415,31,"il1","AR007","P1"
"68#32#13_15","SeuratProject",414,32,"il1","AR007","P1"
"68#37#29_15","SeuratProject",2818,35,"il1","AR007","P1"
"68#41#81_15","SeuratProject",108,23,"il1","AR007","P1"
"68#58#26_15","SeuratProject",849,26,"il1","AR007","P1"
"68#58#53_15","SeuratProject",228,28,"il1","AR007","P1"
"68#59#93_15","SeuratProject",504,33,"il1","AR007","P1"
"68#65#26_15","SeuratProject",831,34,"il1","AR007","P1"
"68#83#14_15","SeuratProject",166,29,"il1","AR007","P1"
"68#92#6_15","SeuratProject",210,26,"il1","AR007","P1"
"68#96#34_15","SeuratProject",67,15,"il1","AR007","P1"
"69#12#93_15","SeuratProject",198,25,"il1","AR007","P1"
"69#56#20_15","SeuratProject",315,24,"il1","AR007","P1"
"69#57#32_15","SeuratProject",466,34,"il1","AR007","P1"
"69#88#48_15","SeuratProject",1587,33,"il1","AR007","P1"
"7#12#22_15","SeuratProject",156,18,"il1","AR007","P1"
"7#26#66_15","SeuratProject",118,17,"il1","AR007","P1"
"7#28#38_15","SeuratProject",303,30,"il1","AR007","P1"
"7#42#42_15","SeuratProject",487,27,"il1","AR007","P1"
"7#42#69_15","SeuratProject",248,25,"il1","AR007","P1"
"7#45#42_15","SeuratProject",140,14,"il1","AR007","P1"
"7#57#16_15","SeuratProject",75,18,"il1","AR007","P1"
"7#59#5_15","SeuratProject",1345,38,"il1","AR007","P1"
"7#7#11_15","SeuratProject",813,33,"il1","AR007","P1"
"7#7#40_15","SeuratProject",500,33,"il1","AR007","P1"
"7#71#8_15","SeuratProject",596,31,"il1","AR007","P1"
"7#71#83_15","SeuratProject",122,21,"il1","AR007","P1"
"7#72#65_15","SeuratProject",225,24,"il1","AR007","P1"
"7#74#63_15","SeuratProject",438,30,"il1","AR007","P1"
"7#75#26_15","SeuratProject",513,30,"il1","AR007","P1"
"7#92#37_15","SeuratProject",1293,35,"il1","AR007","P1"
"70#13#41_15","SeuratProject",460,26,"il1","AR007","P1"
"70#29#24_15","SeuratProject",211,24,"il1","AR007","P1"
"70#3#36_15","SeuratProject",1575,36,"il1","AR007","P1"
"70#3#45_15","SeuratProject",2061,39,"il1","AR007","P1"
"70#35#95_15","SeuratProject",1458,30,"il1","AR007","P1"
"70#42#20_15","SeuratProject",582,32,"il1","AR007","P1"
"70#53#6_15","SeuratProject",564,35,"il1","AR007","P1"
"70#61#12_15","SeuratProject",716,29,"il1","AR007","P1"
"70#62#14_15","SeuratProject",1485,35,"il1","AR007","P1"
"70#63#32_15","SeuratProject",120,25,"il1","AR007","P1"
"70#67#46_15","SeuratProject",1364,28,"il1","AR007","P1"
"70#68#44_15","SeuratProject",2052,37,"il1","AR007","P1"
"70#86#18_15","SeuratProject",294,25,"il1","AR007","P1"
